"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3199","Check displaying of dashboard page","LMS system","2026-08-28","passed","2026-08-28","Dashboard","Dashboard","",""
"","2833","Navigation from login page to registration page","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","3284","Registration with correct email, username and password","LMS system","2026-08-28","passed","2026-08-28","Registration","Authentication","",""
"","3307","User login with wrong email or password","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","2241","Check displaying of empty courses list","LMS system","2026-08-28","passed","2026-08-28","Courses","Courses","",""
"","4241","Create course","LMS system","2026-08-28","passed","2026-08-28","Courses","Courses","",""
"","3777","User login with wrong email or password","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","2889","User login with wrong email or password","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","5120","User login with correct email or password","LMS system","2026-08-28","passed","2026-08-28","Authorization","Authentication","",""
"","6810","Edit course","LMS system","2026-08-28","passed","2026-08-28","Courses","Courses","",""
